Strike;Maturity;Price
15000;0,333333333;0,2
14000;0,333333333;2,2
13500;0,333333333;20
13250;0,333333333;56,1
13000;0,333333333;123,8
12750;0,333333333;231,9
12500;0,333333333;378
12250;0,333333333;553,8
12000;0,333333333;752,4
11750;0,333333333;967,1
11500;0,333333333;1192,8
15000;0,583333333;7,7
14000;0,583333333;69
13500;0,583333333;179,2
13250;0,583333333;262,5
13000;0,583333333;356
12750;0,583333333;491,8
12500;0,583333333;635,5
12250;0,583333333;795,7
12000;0,583333333;970,6
11750;0,583333333;1158,4
11500;0,583333333;1356,8
15000;0,833333333;34,8
14000;0,833333333;164,5
13500;0,833333333;305
13250;0,833333333;396,6
13000;0,833333333;515
12750;0,833333333;634,4
12500;0,833333333;772,8
12250;0,833333333;931,2
12000;0,833333333;1099,7
11750;0,833333333;1279,1
11500;0,833333333;1478
15000;1,083333333;92,8
14000;1,083333333;285
13500;1,083333333;453,5
13250;1,083333333;557,55
13000;1,083333333;674,5
12750;1,083333333;804,5
12500;1,083333333;945,9
12250;1,083333333;1099,35
12000;1,083333333;1263,2
11750;1,083333333;1437,3
11500;1,083333333;1620,2
15000;2,083333333;404,4
14000;2,083333333;750,9
13500;2,083333333;947,4
13250;2,083333333;1056,375
13000;2,083333333;1173,2
12750;2,083333333;1298,25
12500;2,083333333;1431,05
12250;2,083333333;1571,725
12000;2,083333333;1720,7
11750;2,083333333;1878,1
11500;2,083333333;2042,65
